451,0,10412
452,0,10412
453,0,10412
454,0,10412
455,0,10412
10394,2,10412
10412,1,5940
10412,1,5941
10412,1,5942
10412,1,5943
10412,1,5944
10412,1,5945
457,0,10413
458,0,10413
459,0,10413
460,0,10413
10394,2,10413
10413,1,5957
10413,1,5958
10413,1,5959
10413,1,5960
10413,1,5961
358,0,10414
364,0,10414
469,0,10414
470,0,10414
471,0,10414
472,0,10414
473,0,10414
10394,2,10414
10414,1,5950
10414,1,6015
10414,1,6016
475,0,10415
480,0,10415
481,0,10415
10394,2,10415
10415,1,6030
10415,1,6031
10415,1,6032
10415,1,6033
496,0,10416
498,0,10416
499,0,10416
500,0,10416
501,0,10416
10394,2,10416
10416,1,6100
10416,1,6101
10416,1,6102
10416,1,6103
10416,1,6104
10416,1,6105
10416,1,6106
514,0,10417
515,0,10417
10394,2,10417
10417,1,5970
10417,1,6070
10417,1,6175
10417,1,6176
10417,1,6177
10417,1,6178
10417,1,6179
10417,1,6180
10417,1,6181
518,0,10418
519,0,10418
10394,2,10418
10418,1,5921
10418,1,5970
10418,1,5991
10418,1,5994
10418,1,6170
10418,1,6192
10418,1,6193
10418,1,6194
10418,1,6195
10418,1,6196
10418,1,6197
10418,3,12254
522,0,10419
523,0,10419
10394,2,10419
10419,1,6192
10419,1,6214
10419,1,6215
10419,1,6216
528,0,10420
529,0,10420
10394,2,10420
10420,1,6201
10420,1,6217
10420,1,6218
535,0,10421
536,0,10421
537,0,10421
10394,2,10421
10421,1,6153
10421,1,6220
10421,1,6227
10421,1,6228
10421,1,6229
538,0,10422
539,0,10422
540,0,10422
541,0,10422
542,0,10422
543,0,10422
544,0,10422
545,0,10422
546,0,10422
547,0,10422
548,0,10422
549,0,10422
550,0,10422
551,0,10422
552,0,10422
553,0,10422
554,0,10422
555,0,10422
556,0,10422
557,0,10422
10394,2,10422
10422,1,6025
10422,1,6230
10422,1,6231
10422,1,6232
10422,1,6233
10422,1,6234
10422,1,6235
10422,1,6236
538,0,10423
539,0,10423
540,0,10423
541,0,10423
544,0,10423
545,0,10423
547,0,10423
548,0,10423
549,0,10423
550,0,10423
552,0,10423
553,0,10423
555,0,10423
558,0,10423
559,0,10423
560,0,10423
561,0,10423
562,0,10423
10394,2,10423
10423,1,6013
10423,1,6053
10423,1,6234
10423,1,6236
10423,1,6490
10423,1,6505
10423,1,6659
10423,1,6813
565,0,10424
10394,2,10424
10424,1,5937
10424,1,6056
10424,1,6079
10424,1,6529
10424,1,6814
10424,1,6815
10424,3,12097
10424,3,12823
10424,3,12112
10424,3,12216
10424,3,12347
579,0,10425
580,0,10425
10394,2,10425
10425,1,5987
10425,1,6121
10425,1,6364
10425,1,6539
10425,1,6837
10425,1,6838
209,0,10426
588,0,10426
10394,2,10426
10426,1,6191
10426,1,6242
10426,1,6842
10426,1,6843
